iter	RMSE
0	14.79864364
1	14.44254682
2	14.07001577
3	13.75879721
4	13.4541396
5	13.1321882
6	12.84224565
7	12.63718079
8	12.3326426
9	12.04893612
10	11.78948955
11	11.5197632
12	11.26866934
13	11.06040013
14	10.84596451
15	10.64421613
16	10.47077632
17	10.29461491
18	10.10149115
19	9.904013736
20	9.709275221
21	9.520296597
22	9.348416718
23	9.189448431
24	9.020124329
25	8.869859145
26	8.720711514
27	8.575626798
28	8.457144276
29	8.339774738
30	8.233461498
31	8.107453141
32	7.995500815
33	7.878814186
34	7.778137969
35	7.674562672
36	7.571795092
37	7.479947147
38	7.386073094
39	7.300582074
40	7.224429379
41	7.158199955
42	7.080202928
43	7.002161536
44	6.934610667
45	6.879261118
46	6.814732814
47	6.751187794
48	6.699104628
49	6.646569802
50	6.586974944
51	6.543590319
52	6.501013032
53	6.448353545
54	6.400833037
55	6.353795055
56	6.311235294
57	6.269423239
58	6.241415259
59	6.20803124
60	6.165472264
61	6.125995775
62	6.09261933
63	6.064032749
64	6.032726249
65	6.004134514
66	5.975734796
67	5.953361086
68	5.920107803
69	5.891990349
70	5.87214739
71	5.843953251
72	5.825353336
73	5.805812392
74	5.788091041
75	5.763077065
76	5.739104408
77	5.71685803
78	5.701355283
79	5.675943202
80	5.653432563
81	5.634455637
82	5.616710045
83	5.596385989
84	5.57489896
85	5.560934245
86	5.547841169
87	5.530116371
88	5.511214815
89	5.493263499
90	5.48004993
91	5.466281532
92	5.449943724
93	5.439060674
94	5.426847344
95	5.41361444
96	5.39806641
97	5.384759371
98	5.370924345
99	5.356892969
100	5.345120618
101	5.334653084
102	5.325189309
103	5.316601451
104	5.309109094
105	5.298238873
106	5.292220952
107	5.28513951
108	5.275423534
109	5.263458567
110	5.253615904
111	5.244414142
112	5.238228085
113	5.231847592
114	5.225443024
115	5.219276392
116	5.209175841
117	5.200978925
118	5.190779411
119	5.185273297
120	5.180497748
121	5.171839536
122	5.161381676
123	5.156429463
124	5.153362126
125	5.147156447
126	5.138764012
127	5.129521572
128	5.120223905
129	5.115517849
130	5.110607364
131	5.107553761
132	5.097040907
133	5.09051031
134	5.082535818
135	5.079502515
136	5.075613822
137	5.071417817
138	5.068953313
139	5.066806284
140	5.060206693
141	5.058695121
142	5.051114581
143	5.04744922
144	5.043215048
145	5.03845007
146	5.032125996
147	5.027115211
148	5.020859253
149	5.015685512
150	5.010200557
151	5.004234347
152	4.999684706
153	4.995751105
154	4.991634153
155	4.986429067
156	4.980670235
157	4.977823126
158	4.972273005
159	4.96679904
160	4.961096809
161	4.955301696
162	4.949454151
163	4.944131968
164	4.93464962
165	4.92932833
166	4.925932447
167	4.921431937
168	4.915173567
169	4.910407118
170	4.906057532
171	4.901385108
172	4.894808108
173	4.890947809
174	4.886190385
175	4.882432991
176	4.87418125
177	4.869756915
178	4.863506282
179	4.859193539
180	4.853378961
181	4.849975813
182	4.845086778
183	4.841700786
184	4.838101162
185	4.835370161
186	4.83319421
187	4.827998657
188	4.825709264
189	4.82095615
190	4.815863932
191	4.808988604
192	4.803719158
193	4.800110861
194	4.793688399
195	4.791427252
196	4.78737778
197	4.780942862
198	4.776144813
199	4.771871394
200	4.768379509
201	4.763932537
202	4.761360422
203	4.758786552
204	4.752975953
205	4.750930987
206	4.747010511
207	4.746463279
208	4.744319544
209	4.737654314
210	4.734339939
211	4.732499754
212	4.728873004
213	4.725652194
214	4.72435057
215	4.721220646
216	4.716435385
217	4.712082552
218	4.709368396
219	4.707065032
220	4.704106859
221	4.699127005
222	4.696219727
223	4.694616197
224	4.690314162
225	4.683922066
226	4.679816949
227	4.677274672
228	4.67568069
229	4.674351244
230	4.671196976
231	4.667792829
232	4.661485512
233	4.658734776
234	4.655308235
235	4.652339061
236	4.650413731
237	4.648841202
238	4.645620776
239	4.641364083
240	4.640285405
241	4.633837354
242	4.630481426
243	4.627741428
244	4.62583395
245	4.624962954
246	4.621163049
247	4.612461345
248	4.606910193
249	4.601488712
250	4.596464644
251	4.591326543
252	4.588012814
253	4.582612849
254	4.575375616
255	4.572585088
256	4.56877478
257	4.567790322
258	4.563775615
259	4.561522025
260	4.55403365
261	4.54737696
262	4.54100349
263	4.535895678
264	4.533676066
265	4.530768325
266	4.52781095
267	4.524160579
268	4.517474866
269	4.516601742
270	4.511492392
271	4.50667789
272	4.501236458
273	4.500193583
274	4.494609516
275	4.488726099
276	4.482299422
277	4.481520424
278	4.47699585
279	4.476251366
280	4.472321923
281	4.469741253
282	4.465153948
283	4.464101092
284	4.463434333
285	4.457233068
286	4.451679779
287	4.446551876
288	4.44040175
289	4.438754658
290	4.432615158
291	4.428735609
292	4.424512791
293	4.422231518
294	4.421075667
295	4.419225641
296	4.414753817
297	4.40978362
298	4.405950229
299	4.399831074
300	4.397877177
301	4.390503828
302	4.387103934
303	4.382179311
304	4.376423087
305	4.371047531
306	4.365088763
307	4.358235183
308	4.351307565
309	4.345859574
310	4.34012668
311	4.334433372
312	4.329559568
313	4.32898775
314	4.327283045
315	4.32480845
316	4.321276795
317	4.320830683
318	4.315719441
319	4.31355411
320	4.310640957
321	4.306415454
322	4.301351669
323	4.298492729
324	4.293279616
325	4.288320183
326	4.286728859
327	4.284774441
328	4.280496786
329	4.279685258
330	4.277676403
331	4.274422897
