iter	Passed	Remaining
0	242	241790
1	245	122342
2	256	85224
3	258	64274
4	259	51657
5	262	43411
6	263	37323
7	265	32895
8	267	29414
9	268	26611
10	271	24366
11	272	22436
12	279	21253
13	281	19814
14	283	18612
15	285	17545
16	287	16603
17	289	15819
18	292	15102
19	294	14412
20	302	14087
21	305	13586
22	307	13067
23	309	12567
24	311	12132
25	313	11762
26	315	11382
27	317	11031
28	320	10746
29	323	10465
30	325	10173
31	327	9894
32	333	9771
33	335	9519
34	336	9285
35	337	9049
36	339	8824
37	340	8611
38	346	8525
39	347	8342
40	348	8157
41	350	7985
42	351	7833
43	353	7676
44	354	7527
45	358	7444
46	361	7321
47	362	7189
48	364	7072
49	365	6951
50	373	6948
51	375	6842
52	376	6731
53	377	6619
54	379	6517
55	380	6418
56	384	6361
57	386	6271
58	387	6186
59	389	6097
60	395	6084
61	396	6000
62	397	5916
63	398	5835
64	400	5765
65	402	5692
66	403	5621
67	405	5552
68	406	5483
69	407	5414
70	409	5352
71	410	5289
72	411	5225
73	412	5163
74	417	5148
75	419	5098
76	420	5042
77	421	4986
78	423	4935
79	424	4882
80	425	4830
81	430	4823
82	432	4777
83	433	4728
84	434	4680
85	436	4636
86	437	4590
87	438	4545
88	440	4504
89	446	4512
90	447	4469
91	448	4429
92	449	4388
93	451	4348
94	452	4311
95	453	4273
96	460	4282
97	461	4246
98	462	4209
99	463	4173
100	465	4141
101	466	4106
102	468	4078
103	470	4049
104	471	4017
105	472	3984
106	474	3956
107	475	3925
108	476	3894
109	478	3868
110	480	3850
111	482	3822
112	483	3794
113	484	3766
114	485	3739
115	487	3712
116	488	3685
117	494	3695
118	495	3671
119	497	3645
120	498	3619
121	499	3595
122	501	3573
123	502	3548
124	506	3542
125	507	3523
126	509	3501
127	511	3482
128	513	3463
129	514	3442
130	519	3447
131	521	3426
132	522	3404
133	523	3383
134	524	3363
135	526	3342
136	527	3322
137	528	3301
138	529	3279
139	530	3259
140	531	3239
141	533	3221
142	534	3203
143	535	3184
144	537	3166
145	540	3164
146	542	3147
147	543	3128
148	544	3110
149	546	3095
150	547	3077
151	548	3060
152	555	3073
153	556	3057
154	557	3040
155	558	3023
156	560	3009
157	561	2992
158	562	2976
159	568	2986
160	570	2975
